Song,Artist(s),Streams,Date published,Date achieved,Days held,Ref.,Unnamed: 7,Unnamed: 8
"""Flowers""",Miley Cyrus,115156896,13 January 2023,26 January 2023,831 #,[144],,
"""Easy on Me""",Adele,84952932,15 October 2021,21 October 2021,462,[140],,
"""Good 4 U""",Olivia Rodrigo,84131760,14 May 2021,27 May 2021,153,[151],,
"""Drivers License""",Olivia Rodrigo,80764045,8 January 2021,21 January 2021,126,[141],,
"""7 Rings""",Ariana Grande,71467874,18 January 2019,24 January 2019,728,[159],,
"""In My Feelings""",Drake,67499798,29 June 2018,19 July 2018,189,[160],,
As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025
