Song,Artist(s),Streams,Date published,Date achieved,Days held,Ref.,Unnamed: 7,Unnamed: 8
"""Fortnight""",Taylor Swift featuring Post Malone,25204472,19 April 2024,19 April 2024,382,[126],,
"""Easy on Me""",Adele,19749704,15 October 2021,15 October 2021,918,[140],,
"""Drivers License""",Olivia Rodrigo,13714177,8 January 2021,21 January 2021,274,[141],,
"""Sad!""",XXXTentacion,10415088,2 March 2018,19 June 2018,947 #,[142],,
"""Shape of You""",Ed Sheeran,9891056,6 January 2017,3 March 2017,473,[143],,
As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025,As of 6 May 2025
