Rank,Album,Artist(s),Streams,Tracks,Average,Date published,Date achieved,Ref.
1,The Tortured Poets Department[O],Taylor Swift,313747178,31,10120877,19 April 2024,19 April 2024,[210]
2,Midnights[P],Taylor Swift,184695609,20,9234781,21 October 2022,21 October 2022,[211]
3,1989 (Taylor's Version)[Q],Taylor Swift,176170759,22,8007754,27 October 2023,27 October 2023,[212]
4,Certified Lover Boy,Drake,153400000,21,7306741,3 September 2021,3 September 2021,[213]
5,Nadie Sabe Lo Que Va a Pasar Mañana,Bad Bunny,145925845,21[R],6948849,14 October 2023,14 October 2023,[214]
6,Un Verano Sin Ti,Bad Bunny,145811373,23,6339624,6 May 2022,6 May 2022,[215]
7,Music,Playboi Carti,134584864,30,4486162,14 March 2025,14 March 2025,[216]
8,Scorpion,Drake,132384203,25,2533898,29 June 2018,29 June 2018,[217]
9,Utopia,Travis Scott,128501459,19,6763235,28 July 2023,28 July 2023,[218]
10,Speak Now (Taylor's Version),Taylor Swift,126378176,22,5744463,7 July 2023,7 July 2023,[219]
11,For All the Dogs,Drake,108677977,23,4725129,6 October 2023,6 October 2023,[220]
12,Mr. Morale & the Big Steppers,Kendrick Lamar,99582729,18,5532373,13 May 2022,13 May 2022,[221]
13,Harry's House,Harry Styles,97621794,13,7509368,20 May 2022,20 May 2022,[222]
14,Her Loss,Drake and 21 Savage,97390844,16,6086927,4 November 2022,4 November 2022,[223]
15,Donda,Kanye West,94455883,25[S],3778235,29 August 2021,29 August 2021,[224]
16,Red (Taylor's Version),Taylor Swift,90556180,30,3018539,12 November 2021,12 November 2021,[225]
17,Debí Tirar Más Fotos,Bad Bunny,87639602,17,5115271,5 January 2025,14 January 2025,[226]
18,Chromakopia,"Tyler, The Creator",85665784,14,6118985,28 October 2024,28 October 2024,[227]
19,Folklore,Taylor Swift,79443136,16,4965196,24 July 2020,24 July 2020,[228]
20,Beerbongs & Bentleys,Post Malone,77452211,18,4302900,27 April 2018,27 April 2018,[229]
21,Cowboy Carter,Beyoncé,76131529,27[T],2819686,29 March 2024,29 March 2024,[230]
22,El Último Tour Del Mundo,Bad Bunny,74857654,16,–,27 November 2020,27 November 2020,
23,Hit Me Hard and Soft,Billie Eillish,72726139,10,–,17 May 2024,17 May 2024,[231]
24,Legends Never Die,Juice WRLD,72656971,22,–,10 July 2020,10 July 2020,
25,Hollywood’s Bleeding,Post Malone,72478256,17,–,6 September 2019,6 September 2019,
26,SOS,SZA,67962380,23,–,9 December 2022,9 December 2022,
As of 2 May 2025,As of 2 May 2025,As of 2 May 2025,As of 2 May 2025,As of 2 May 2025,As of 2 May 2025,As of 2 May 2025,As of 2 May 2025,As of 2 May 2025
