Rank,Song,Artist(s),Streams (billions),Release date,Ref.
65,"""Birds of a Feather""",Billie Eilish,2.490,17 May 2024,[66]
66,"""Let Me Love You""",DJ Snake and Justin Bieber,2.488,5 August 2016,[67]
67,"""Drivers License""",Olivia Rodrigo,2.484,8 January 2021,[68]
68,"""Treat You Better""",Shawn Mendes,2.480,3 June 2016,[69]
69,"""Kill Bill""",SZA,2.471,9 December 2022,[70]
70,"""One Kiss""",Calvin Harris and Dua Lipa,2.442,6 April 2018,[71]
71,"""Sorry""",Justin Bieber,2.419,22 October 2015,[72]
72,"""Good 4 U""",Olivia Rodrigo,2.417,14 May 2021,[73]
73,"""Die With A Smile""",Lady Gaga and Bruno Mars,2.408,16 August 2024,[74]
74,"""Don't Stop Believin'""",Journey,2.398,19 October 1981,[75]
75,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.397,20 April 2017,[76]
76,"""Smells Like Teen Spirit""",Nirvana,2.391,10 September 1991,[77]
77,"""Happier""",Marshmello and Bastille,2.391,16 August 2018,[78]
78,"""Sad!""",XXXTentacion,2.376,2 March 2018,[79]
79,"""Jocelyn Flores""",XXXTentacion,2.363,31 October 2017,[80]
80,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa with Pnau,2.362,13 August 2021,[81]
81,"""Sicko Mode""",Travis Scott and Drake,2.357,21 August 2018,[82]
82,"""Lean On""",Major Lazer with DJ Snake and M∅,2.345,2 March 2015,[83]
83,"""Iris""",Goo Goo Dolls,2.342,1 April 1998,[84]
84,"""See You Again""","Tyler, the Creator and Kali Uchis",2.340,21 July 2017,[85]
85,"""Save Your Tears""",The Weeknd,2.339,20 March 2020,[86]
86,"""XO Tour Llif3""",Lil Uzi Vert,2.332,24 March 2017,[87]
87,"""Seven""",Jung Kook and Latto,2.332,14 July 2023,[88]
88,"""Wonderwall""",Oasis,2.326,30 October 1995,[89]
89,"""The Scientist""",Coldplay,2.324,26 May 2002,[90]
90,"""Levitating""",Dua Lipa and DaBaby,2.311,1 October 2020,[91]
91,"""Don't Stop Me Now""",Queen,2.309,26 January 1979,[92]
92,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.306,10 November 2014,[93]
93,"""New Rules""",Dua Lipa,2.306,7 July 2017,[94]
94,"""Take On Me""",A-ha,2.304,19 October 1984,[95]
95,"""All The Stars""",Kendrick Lamar and SZA,2.232,4 October 2018,[96]
96,"""Too Good at Goodbyes""",Sam Smith,2.296,8 September 2017,[97]
97,"""Stay with Me""",Sam Smith,2.286,14 April 2014,[98]
98,"""Someone Like You""",Adele,2.281,24 January 2011,[99]
99,"""Havana""",Camila Cabello and Young Thug,2.274,3 August 2017,[100]
100,"""Memories""",Maroon 5,2.253,20 September 2019,[101]
As of 5 May 2025,As of 5 May 2025,As of 5 May 2025,As of 5 May 2025,As of 5 May 2025,As of 5 May 2025
